invoice_number,full_date,stock_code,description,customer_id,country,quantity,unit_price,total_amount
489434,2009-12-01,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,13085.0,United Kingdom,12,6.95,83.40
489434,2009-12-01,79323P,PINK CHERRY LIGHTS,13085.0,United Kingdom,12,6.75,81.00
489434,2009-12-01,79323W,WHITE CHERRY LIGHTS,13085.0,United Kingdom,12,6.75,81.00
489434,2009-12-01,22041,"RECORD FRAME 7"" SINGLE SIZE",13085.0,United Kingdom,48,2.10,100.80
489434,2009-12-01,21232,STRAWBERRY CERAMIC TRINKET BOX,13085.0,United Kingdom,24,1.25,30.00
489434,2009-12-01,22064,PINK DOUGHNUT TRINKET POT,13085.0,United Kingdom,24,1.65,39.60
489434,2009-12-01,21871,SAVE THE PLANET MUG,13085.0,United Kingdom,24,1.25,30.00
489434,2009-12-01,21523,DOORMAT FANCY FONT HOME SWEET HOME,13085.0,United Kingdom,10,5.95,59.50
489435,2009-12-01,22350,CAT BOWL,13085.0,United Kingdom,12,2.55,30.60
489435,2009-12-01,22349,"DOG BOWL , CHASING BALL DESIGN",13085.0,United Kingdom,12,3.75,45.00
489435,2009-12-01,22195,HEART MEASURING SPOONS LARGE,13085.0,United Kingdom,24,1.65,39.60
489435,2009-12-01,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,13085.0,United Kingdom,12,2.55,30.60
489436,2009-12-01,48173C,DOOR MAT BLACK FLOCK,13078.0,United Kingdom,10,5.95,59.50
489436,2009-12-01,21755,LOVE BUILDING BLOCK WORD,13078.0,United Kingdom,18,5.45,98.10
489436,2009-12-01,21754,HOME BUILDING BLOCK WORD,13078.0,United Kingdom,3,5.95,17.85
489436,2009-12-01,84879,ASSORTED COLOUR BIRD ORNAMENT,13078.0,United Kingdom,16,1.69,27.04
489436,2009-12-01,22119,PEACE WOODEN BLOCK LETTERS,13078.0,United Kingdom,3,6.95,20.85
489436,2009-12-01,22142,CHRISTMAS CRAFT WHITE FAIRY,13078.0,United Kingdom,12,1.45,17.40
489436,2009-12-01,22296,HEART IVORY TRELLIS LARGE,13078.0,United Kingdom,12,1.65,19.80
489436,2009-12-01,22295,HEART FILIGREE DOVE LARGE,13078.0,United Kingdom,12,1.65,19.80
